data_movimento, data_nf, codnota, numfilial, codbarra, codproduto, produto, codcor, codtamanho, quantity, price, valor_total, custo_medio, fufilled_quantity, total_sold_quantity, outbound_quantity, status, last_nota_status, codfilial
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61060, 21102, 7898620271091, TPV-M2470SWH2, 219275, 000, U, 5.0, 385.77, 1928.85, 384.03, 5.0, 5.0, 0.0, f, f, TPV 
2023-11-09 00:00:00, 2023-11-09 00:00:00, 78532, 21102, 7898620271091, TPV-M2470SWH2, 219275, 000, U, 5.0, 729.0, 3645.0, 384.03, 0, 5.0, -5.0, e, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61063, 21102, 7898620270995, TPV-272V8A, 219297, 000, U, 3.0, 656.41, 1969.23, 653.44, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61061, 21102, 7898620271084, TPV-E2270SWHEN, 219273, 000, U, 6.0, 327.99, 1967.94, 326.51, 6.0, 6.0, 0.0, f, f, TPV 
2023-08-21 00:00:00, 2023-08-11 00:00:00, 64333, 21102, 7898620271084, TPV-E2270SWHEN, 219273, 000, U, 1.0, 317.6, 317.6, 316.17, 0, 6.0, -1.0, e, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61062, 21102, 7898620271701, TPV-U27P2, 219279, 000, U, 2.0, 1109.32, 2218.64, 1104.31, 2.0, 9.0, 7.0, f, f, TPV 
2023-08-02 00:00:00, 2023-07-27 00:00:00, 63772, 21102, 7898620271701, TPV-U27P2, 219279, 000, U, 3.0, 1226.89, 3680.67, 1221.34, 3.0, 9.0, 4.0, f, f, TPV 
2023-08-21 00:00:00, 2023-08-11 00:00:00, 64337, 21102, 7898620271701, TPV-U27P2, 219279, 000, U, 5.0, 1219.41, 6097.05, 1213.9, 5.0, 9.0, -1.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61056, 21102, 7898620271060, TPV-AG323FCXE, 219269, 000, U, 4.0, 1194.36, 4777.44, 1188.96, 4.0, 6.0, 2.0, f, f, TPV 
2023-08-28 00:00:00, 2023-08-22 00:00:00, 64698, 21102, 7898620271060, TPV-AG323FCXE, 219269, 000, U, 4.0, 1103.73, 4414.92, 1098.74, 4.0, 6.0, -2.0, p, t, TPV 
